Naive,CacheOpt,Strassen
0.001000,0.000000,0.047000
0.005000,0.004000,0.337000
0.004000,0.003000,0.149000
0.121000,0.096000,7.518000
1.127000,1.042000,50.473000
15.021000,6.656000,396.862000
179.181000,56.766000,2205.365000
