Naive,CacheOpt,StrassenOpt
0.000000,0.012000,0.024000
0.013000,0.000000,0.121000
0.016000,0.016000,0.857000
0.100000,0.100000,5.753000
0.874000,0.669000,41.626000
10.750000,5.379000,283.977000
126.218000,43.012000,2068.559000
